Site,Code,Ucode,Type,StateCode,Tstart,Tstop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEname,Ename,Uname
IQKK,,IQKK,LS,IQ,20-Mar,20-Mar,Kirkuk,"Kirkuk region, Iraq","Kirkuk, Iraq",44.4,35.47,0.2,IQ,-,-,-
IQNJ,,IQNJ,LS,IQ,20-Mar,20-Mar,IQNJ,"Mobile launcher, S of An Najaf","An Najaf, Iraq",44.1,31,0.2,IQ,-,-,-
IQSA,,IQSA,LS,IQ,20-Mar,20-Mar,IQTA,Saddam Air Base,"Al Qayyarah, Iraq",43.12,35.76,0.01,IQ,-,-,-
IQTA,,IQTA,LS,IQ,20-Mar,20-Mar,IQTA,Tall' Afar Air Base,"Tall' Afar, Mosul, Iraq",42.41,36.28,0.01,IQ,-,-,-
IQUQ,,IQUQ,LS,IQ,20-Mar,20-Mar,IQUQ,Umm Qasr (Um Qassir),"Umm Qasr (Um Qassir), Shatt Al Arab, Iraq",47.95,30.05,0.05,IQ,-,-,-
IRAN,,IRAN,LS,IR,-,1985,IRAN  -,Mobile launchers in Iran?,-,49,34,4,IR,-,-,-
IRAQ,,IRAQ,LS,IQ,-,1991,IRAQ  -,Mobile launchers in Iraq,-,44,33,4,IQ,-,-,-
IRAQ-A,,IRAQ-A,LS,IQ,-,1991,IRAQ- -,"Mobile launchers in Iraq, near Al Amarah",-,47.1,31.8,0.2,IQ,-,-,-
IRAQ-W,,IRAQ-W,LS,IQ,1991,1991,IRAQ- -,"Mobile launchers in Iraq, western launch area",-,41,34,1,IQ,-,-,-
IRKURD,,IRKURD,LS,IR,2017,*,Kurdistan,"Missile base, Kurdistan province, Iran                                          -",,46,36,1.5,IR,-,-,-
IRW,,IRW,LS,US,1944,1945,IRW   -,"Leach Spring, Camp Irwin, California",-,-116.7,35.3,0.5,JPL,-,-,-
IXC,,IXC,LS,MX,11-Jul-91,11-Jul-91,IXC   -,"Santiago Ixcuintla, Nayarit, Mexico",-,-105.37,21.83,0.02,SPFL,-,-,-
JHAM,,JHAM,LS,EG,1962,1973,Jabal Hamzah,Jabal Hamzah,Egypt,30.607,30.1274,0.0002,EGAO,-,-,-
JHIM,,JHIM,LS,IQ,1990,1990,Jebel Himreen,"Jebel Himreen, Iraq",Iraq,45.3,34,0.5,IQ,-,-,-
